,Pays,Url,Drapeaux,Capitale,Langues,Population (hab),Superficie (km2)
101,Libéria,/wiki/Lib%C3%A9ria,//upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Flag_of_Liberia.svg/20px-Flag_of_Liberia.svg.png,Monrovia,Anglais,5 073 296,111 369
102,Libye,/wiki/Libye,//upload.wikimedia.org/wikipedia/commons/thumb/0/05/Flag_of_Libya.svg/20px-Flag_of_Libya.svg.png,Tripoli,Arabe,6 890 535,1 759 540
103,Liechtenstein,/wiki/Liechtenstein,//upload.wikimedia.org/wikipedia/commons/thumb/4/47/Flag_of_Liechtenstein.svg/20px-Flag_of_Liechtenstein.svg.png,Vaduz,Allemand,38 079,160
104,Lituanie,/wiki/Lituanie,//upload.wikimedia.org/wikipedia/commons/thumb/1/11/Flag_of_Lithuania.svg/20px-Flag_of_Lithuania.svg.png,Vilnius,Lituanien,2 731 464,65 303
105,Luxembourg,/wiki/Luxembourg,//upload.wikimedia.org/wikipedia/commons/thumb/d/da/Flag_of_Luxembourg.svg/20px-Flag_of_Luxembourg.svg.png,Luxembourg,Langue nationale,645 397,2 58
106,Macédoine du Nord,/wiki/Mac%C3%A9doine_du_Nord,//upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_North_Macedonia.svg/20px-Flag_of_North_Macedonia.svg.png,Skopje,Macédonien,1 836 713,25 713
107,Madagascar,/wiki/Madagascar,//upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Madagascar.svg/20px-Flag_of_Madagascar.svg.png,Antananarivo,Malgache,26 955 737,587 041
108,Malaisie,/wiki/Malaisie,//upload.wikimedia.org/wikipedia/commons/thumb/6/66/Flag_of_Malaysia.svg/20px-Flag_of_Malaysia.svg.png,Kuala Lumpur,Malais,32 652 083,329 750
109,Malawi,/wiki/Malawi,//upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Flag_of_Malawi.svg/20px-Flag_of_Malawi.svg.png,Lilongwe,Anglais,21 196 629,118 844
110,Maldives,/wiki/Maldives,//upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_Maldives.svg/20px-Flag_of_Maldives.svg.png,Malé,Maldivien,391 904,298
111,Mali,/wiki/Mali,//upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Mali.svg/20px-Flag_of_Mali.svg.png,Bamako,Français,21 473 764,1 241 238
112,Malte,/wiki/Malte,//upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Malta.svg/20px-Flag_of_Malta.svg.png,La Valette,Maltais,457 267,316
113,Maroc,/wiki/Maroc,//upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Morocco.svg/20px-Flag_of_Morocco.svg.png,Rabat,Arabe,37 344 787,446 550
114,Marshall,/wiki/%C3%8Eles_Marshall,//upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Flag_of_the_Marshall_Islands.svg/20px-Flag_of_the_Marshall_Islands.svg.png,Delap-Uliga-Darrit,Marshallais,59 194,181
115,Maurice,/wiki/Maurice_(pays),//upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Mauritius.svg/20px-Flag_of_Mauritius.svg.png,Port-Louis,Anglais,1 379 365,2 040
116,Mauritanie,/wiki/Mauritanie,//upload.wikimedia.org/wikipedia/commons/thumb/4/43/Flag_of_Mauritania.svg/20px-Flag_of_Mauritania.svg.png,Nouakchott,Arabe,4 005 475,1 030 700
117,Mexique,/wiki/Mexique,//upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Flag_of_Mexico.svg/20px-Flag_of_Mexico.svg.png,Mexico,espagnol,129 150 971,1 964 375
118,Micronésie,/wiki/Micron%C3%A9sie_(pays),//upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Flag_of_the_Federated_States_of_Micronesia.svg/20px-Flag_of_the_Federated_States_of_Micronesia.svg.png,Palikir,Anglais,102 624,702
119,Moldavie,/wiki/Moldavie,//upload.wikimedia.org/wikipedia/commons/thumb/2/27/Flag_of_Moldova.svg/20px-Flag_of_Moldova.svg.png,Chișinău,Roumain,2 681 735,33 851
120,Monaco,/wiki/Monaco,//upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Flag_of_Monaco.svg/20px-Flag_of_Monaco.svg.png,Commune de Monaco,Français,39 15,
121,Mongolie,/wiki/Mongolie,//upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Flag_of_Mongolia.svg/20px-Flag_of_Mongolia.svg.png,Oulan-Bator,Mongol,3 168 026,1 564 116
122,Monténégro,/wiki/Mont%C3%A9n%C3%A9gro,//upload.wikimedia.org/wikipedia/commons/thumb/6/64/Flag_of_Montenegro.svg/20px-Flag_of_Montenegro.svg.png,Podgorica,Monténégrin,609 859,13 812
123,Mozambique,/wiki/Mozambique,//upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Flag_of_Mozambique.svg/20px-Flag_of_Mozambique.svg.png,Maputo,Portugais,27 233 789,801 590
124,Namibie,/wiki/Namibie,//upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_Namibia.svg/20px-Flag_of_Namibia.svg.png,Windhoek,,2 630 073,825 418
125,Nauru,/wiki/Nauru,//upload.wikimedia.org/wikipedia/commons/thumb/3/30/Flag_of_Nauru.svg/20px-Flag_of_Nauru.svg.png,de jure,Nauruan,9 770,21
126,Népal,/wiki/N%C3%A9pal,//upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Flag_of_Nepal.svg/15px-Flag_of_Nepal.svg.png,Katmandou,Népalais,30 327 877,147 516
127,Nicaragua,/wiki/Nicaragua,//upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Nicaragua.svg/20px-Flag_of_Nicaragua.svg.png,Managua,Espagnol,6 203 441,129 494
